,control,culture_seeker,homebody,party_captain,planner,wellness_weekender
control,1.0,0.9169514179229736,0.9413487911224365,0.9753991961479187,0.9039240479469299,0.9654220342636108
culture_seeker,0.9169514179229736,1.0,0.9545179605484009,0.8824737071990967,0.8788564205169678,0.9407262802124023
homebody,0.9413487911224365,0.9545179605484009,0.9999999403953552,0.9083714485168457,0.9169796705245972,0.9772720336914062
party_captain,0.9753991961479187,0.8824737071990967,0.9083714485168457,1.0,0.8516384363174438,0.936195969581604
planner,0.9039240479469299,0.8788564205169678,0.9169796705245972,0.8516384363174438,1.0,0.9183797240257263
wellness_weekender,0.9654220342636108,0.9407262802124023,0.9772720336914062,0.936195969581604,0.9183797240257263,1.0
