persona_key,count,mean,std,ci_lo,ci_hi
planner,40,0.0706998884677887,0.03202394734497365,0.06045813323953899,0.08094164369603842
party_captain,40,0.049174918234348296,0.0397243779549953,0.036470445821037326,0.061879390647659266
culture_seeker,40,0.048998451232910155,0.028201650279951886,0.039979125910877315,0.058017776554942994
homebody,40,0.020657752454280854,0.018514112613707733,0.014736651984834617,0.02657885292372709
control,40,0.018452534079551698,0.023568226024230515,0.01091504972435962,0.025990018434743776
wellness_weekender,40,0.011562187969684602,0.017391382824852596,0.0060001539064202854,0.017124222032948916
